Elapsed,Temp,Latency,Mode
214.07,63.12,3373.57,2
215.08,63.38,3373.57,2
216.09,63.25,3367.53,2
217.1,63.59,3367.53,2
218.11,63.47,3367.53,2
219.12,63.38,3420.44,2
220.13,63.62,3420.44,2
221.14,63.88,3420.44,2
222.15,63.56,3404.13,2
223.16,63.88,3404.13,2
224.17,63.84,3404.13,2
225.18,64.03,3244.67,2
226.19,63.72,3368.93,2
227.2,63.88,3368.93,2
228.21,63.91,3368.93,2
229.22,63.97,3272.39,2
230.23,64.16,3272.39,2
231.23,64.28,3272.39,2
232.24,63.91,3344.45,2
233.25,64.25,3344.45,2
234.26,64.16,3344.45,2
235.27,64.56,3344.45,2
236.28,64.31,3339.51,2
237.29,64.66,3339.51,2
238.3,64.56,3339.51,2
239.31,64.44,3357.93,2
240.32,64.56,3357.93,2
241.33,64.69,3357.93,2
242.34,64.19,3345.58,2
243.35,64.69,3345.58,2
244.36,64.91,3345.58,2
245.37,64.91,3345.58,2
246.38,65.09,3393.48,2
247.39,65.03,3393.48,2
248.4,65.22,3393.48,2
249.41,65.0,3393.48,2
250.42,64.75,4295.2,2
251.43,65.09,4295.2,2
252.44,65.19,4295.2,2
253.45,64.75,3394.81,2
254.46,65.25,3394.81,2
255.47,65.38,3394.81,2
256.48,65.47,3394.81,2
257.49,65.31,3386.71,2
258.5,65.5,3386.71,2
259.51,65.31,3386.71,2
260.52,65.62,3975.09,2
261.53,65.5,3975.09,2
262.54,65.94,3975.09,2
263.55,65.69,3975.09,2
264.56,65.72,3331.73,2
265.57,65.75,3331.73,2
266.58,65.97,3331.73,2
267.59,65.41,3529.72,2
268.6,66.0,3529.72,2
269.61,65.97,3529.72,2
270.62,66.09,3529.72,2
271.63,65.97,3436.45,2
272.64,66.16,3436.45,2
273.65,66.03,3436.45,2
274.66,66.06,3377.33,2
275.67,66.16,3377.33,2
276.68,66.5,3377.33,2
277.69,65.75,3347.5,2
278.7,66.53,3347.5,2
279.71,66.34,3347.5,2
280.72,66.44,3347.5,2
281.73,66.28,3300.93,2
282.74,66.5,3300.93,2
283.75,66.5,3300.93,2
284.76,66.5,3335.19,2
285.77,66.97,3335.19,2
286.78,66.81,3335.19,2
287.79,66.59,3388.33,2
288.8,66.84,3388.33,2
289.81,66.72,3388.33,2
290.82,66.91,3388.33,2
291.83,66.81,3388.52,2
292.84,66.97,3388.52,2
293.84,67.06,3388.52,2
294.85,66.59,3443.46,2
295.86,67.12,3443.46,2
296.87,67.09,3443.46,2
297.89,67.09,3464.0,2
298.9,66.97,3464.0,2
299.91,67.25,3464.0,2
300.92,67.06,3464.0,2
301.92,67.44,4151.83,2
302.93,67.03,4151.83,2
303.94,67.66,4151.83,2
304.95,67.25,4151.83,2
305.96,67.12,3581.29,2
306.97,67.38,3581.29,2
307.98,67.66,3581.29,2
308.99,67.47,3488.16,2
310.0,67.56,3488.16,2
311.01,67.62,3488.16,2
312.02,67.78,3488.16,2
313.03,67.53,3470.62,2
314.04,67.97,3470.62,2
315.05,67.84,3470.62,2
316.07,67.47,3367.11,2
317.09,67.88,3367.11,2
318.1,67.91,3367.11,2
319.11,68.09,3367.11,2
320.12,68.12,3400.97,2
321.13,68.16,3400.97,2
322.14,68.03,3400.97,2
323.15,68.03,3397.23,2
324.16,68.06,3397.23,2
325.17,68.22,3397.23,2
326.18,67.69,3414.23,2
327.19,68.28,3414.23,2
328.2,68.19,3414.23,2
329.21,68.31,3414.23,2
330.22,68.09,3529.34,2
331.23,68.5,3529.34,2
332.24,68.72,3529.34,2
333.25,68.03,3446.06,2
334.26,68.75,3446.06,2
335.27,68.62,3446.06,2
336.28,68.94,3446.06,2
337.29,68.56,3388.23,2
338.3,68.69,3388.23,2
339.31,68.72,3388.23,2
340.32,68.44,3447.07,2
341.33,68.75,3447.07,2
342.34,68.78,3447.07,2
343.35,68.53,3374.96,2
344.36,68.97,3374.96,2
345.37,68.94,3374.96,2
346.38,68.94,3374.96,2
347.39,68.78,3392.19,2
348.4,69.16,3392.19,2
349.41,69.0,3392.19,2
350.42,68.78,3401.87,2
351.43,69.03,3401.87,2
352.44,69.16,3401.87,2
353.45,68.66,3330.64,2
354.46,69.28,3330.64,2
355.47,69.25,3330.64,2
356.48,69.31,3330.64,2
357.49,69.47,3354.66,2
358.5,69.47,3354.66,2
359.51,69.69,3354.66,2
360.52,68.94,3415.79,2
361.53,69.28,3415.79,2
362.54,69.56,3415.79,2
363.55,69.12,3365.59,2
364.56,69.59,3365.59,2
365.56,69.66,3365.59,2
366.58,69.78,3365.59,2
367.59,69.41,3350.78,2
