Elapsed,Temp,Latency,Mode
819.49,57.53,3733.46,0
820.5,57.28,3733.46,0
821.51,57.5,3733.46,0
822.52,57.28,3488.93,0
823.53,57.28,3488.93,0
824.55,57.25,3488.93,0
825.56,56.78,3443.73,0
826.57,57.03,3443.73,0
827.58,57.09,3443.73,0
828.59,57.0,3443.73,0
829.6,56.81,3416.55,0
830.61,57.0,3416.55,0
831.62,57.16,3416.55,0
832.64,56.81,3401.28,0
833.65,57.0,3401.28,0
834.66,57.38,3401.28,0
835.67,56.31,3282.49,0
836.68,56.69,3282.49,0
837.69,57.09,3282.49,0
838.7,56.75,3282.49,0
839.71,56.59,3520.34,0
840.72,56.72,3520.34,0
841.73,56.75,3520.34,0
842.74,56.16,3401.03,0
843.75,56.5,3401.03,0
844.76,56.75,3401.03,0
845.77,56.44,3367.0,0
846.78,56.62,3367.0,0
847.8,56.59,3367.0,0
848.81,56.81,3367.0,0
849.82,56.53,3346.16,0
850.83,56.84,3346.16,0
851.84,56.59,3346.16,0
852.86,56.25,3399.16,0
853.87,56.59,3399.16,0
854.88,56.38,3399.16,0
855.89,56.56,3406.61,0
856.9,56.44,3406.61,0
857.91,56.94,3406.61,0
858.92,56.34,3406.61,0
859.93,56.53,3250.83,0
860.94,56.38,3250.83,0
861.95,56.34,3250.83,0
862.96,55.53,3463.36,0
863.97,56.47,3463.36,0
864.98,56.81,3463.36,0
865.99,56.47,3463.36,0
867.0,56.53,3439.31,0
868.01,56.31,3439.31,0
869.02,56.22,3439.31,0
870.03,56.25,3371.78,0
871.04,55.94,3371.78,0
872.05,56.31,3371.78,0
873.06,55.94,3371.78,0
874.07,55.78,4201.43,0
875.08,55.94,4201.43,0
876.09,56.34,4201.43,0
877.1,55.78,3376.16,0
878.11,56.03,3376.16,0
879.12,56.28,3376.16,0
880.13,55.91,3376.16,0
881.14,55.97,3334.99,0
882.15,55.97,3334.99,0
883.16,56.16,3334.99,0
884.17,55.34,3511.64,0
885.19,56.03,3511.64,0
886.19,55.97,3511.64,0
887.2,55.84,3326.27,0
888.21,56.0,3326.27,0
889.22,56.09,3326.27,0
890.23,56.31,3326.27,0
891.24,55.78,3400.53,0
892.25,56.12,3400.53,0
893.26,55.84,3400.53,0
894.27,55.25,3424.69,0
895.28,55.84,3424.69,0
896.29,55.91,3424.69,0
897.3,55.81,3374.56,0
898.31,55.84,3418.33,0
